"gate_name","gate_type","trigger_event","success_criteria","failure_action","responsible_team","automation_level","tools_used","measurement_frequency","escalation_procedure","historical_pass_rate","average_resolution_time","business_impact"
"Code Commit Gate","Compliance","Git Push / Pull Request Creation","No hardcoded secrets detected; Commit messages follow conventional commits; Pre-commit hooks (Husky) pass linting (ESLint) and formatting (Prettier).","Block Push / Block Merge","Development Team","Fully Automated","Husky, Trivy (Secret Scanning), Commitlint","Every Commit","Developer resolves locally; Persistent failures flagged to Tech Lead.","95","0.2","Prevents credential leakage and maintains code style consistency."
"Build & Compile Gate","Functional","CI Pipeline Start (GitHub Actions)","Next.js frontend builds without errors; NestJS backend compiles successfully; Docker images build successfully; No circular dependencies detected.","Fail Pipeline","DevOps Engineer","Fully Automated","Webpack, tsc (TypeScript Compiler), Docker Build","Every PR Build","Notify committing developer immediately via Slack/Email.","98","0.5","Ensures deployable artifacts are valid."
"Unit Test & Coverage Gate","Coverage","Post-Build","Auth Service coverage > 95%; Payout Saga coverage > 95%; Audit Logging > 95%; General Backend > 80%; Frontend Components > 80%. All tests must pass.","Block Merge","Backend/Frontend Engineers","Fully Automated","Jest (Backend), React Testing Library (Frontend), SonarQube","Every PR","Code Reviewer rejects PR if coverage decreases.","90","2","Reduces regression risk in critical financial and security modules."
"Static Security Analysis (SAST) Gate","Security","Post-Unit Test","Zero Critical or High severity vulnerabilities; Technical Debt Ratio < 5%; No OWASP Top 10 injection risks detected.","Block Merge","Security Architect","Fully Automated","SonarQube, CodeQL","Every PR","Security Architect review required for bypassing false positives.","92","4","Prevents introduction of exploitable vulnerabilities like SQLi or XSS."
"Integration Test Gate","Functional","Post-SAST","Payout Saga rollback verified; Stripe Webhook signature verification passes; AWS Comprehend PII redaction accuracy > 99% on test set; Vector search integration functioning.","Fail Pipeline","Backend Lead","Fully Automated","Jest (Integration), Stripe-Mock, LocalStack","Every Merge to Main","Immediate alert to Backend Lead; Block deployment to Staging.","88","3","Ensures microservices and external APIs (Stripe, OpenAI) interact correctly."
"Container Security Gate","Security","Pre-Push to Registry","Zero Critical/High CVEs in base images (Node.js/Alpine); Minimal image footprint verified.","Block Push to ECR","DevOps Lead","Fully Automated","Trivy, AWS ECR Image Scanning","Every Release Candidate","DevOps Lead must patch base image or apply mitigation.","85","24","Mitigates supply chain attacks and container breakouts."
"Performance Baseline Gate","Performance","Deployment to Performance Env","API p95 latency < 250ms (Nominal Load); SOW Processing < 30s; Vector Search < 200ms; No memory leaks detected over 1-hour load test.","Block Release to Prod","SRE / Performance Engineer","Fully Automated","k6, Prometheus, Grafana","Nightly / Pre-Release","Performance Engineer analysis required; Optimization sprint triggered if regression > 10%.","80","12","Ensures user experience meets SLAs and system scales under load."
"End-to-End (E2E) Test Gate","Functional","Deployment to Staging","100% Pass on Critical Paths: Login -> MFA -> SOW Upload -> Match -> Payout; Vendor Portal submission flow functional.","Block Release to Prod","QA Engineer","Fully Automated","Playwright, Cypress","Every Staging Deploy","QA Lead investigation; Release hold until hotfix applied.","85","6","Validates full user journeys and business logic in a production-like environment."
"Dynamic Security Scan (DAST) Gate","Security","Weekly / Pre-Release","No High/Critical vulnerabilities exploitable in Staging environment (e.g., IDOR, Broken Auth).","Create Blocker Tickets","Security Team","Fully Automated","OWASP ZAP","Weekly Schedule","Security Architect validates findings; blocking issue for Production release.","90","48","Identifies runtime security issues not caught by static analysis."
"Production Release Gate","Compliance","Promotion to Production","All prior gates passed; Change Request approved; Rollback plan verified; Financial reconciliation scripts ready.","Block Deployment","Release Manager / Product Owner","Manual","Jira, ServiceNow (Change Management)","Every Release","CTO approval required for emergency bypass.","98","2","Final governance check to prevent unauthorized or risky deployments."
