"gate_name","gate_type","trigger_event","success_criteria","failure_action","responsible_team","automation_level","tools_used","measurement_frequency","escalation_procedure","historical_pass_rate","average_resolution_time","business_impact"
"Code Commit Gate","Compliance","Git Push / Pull Request Creation","Zero linting errors; Prettier formatting compliance; Commit message follows Conventional Commits standard.","block","Development Team","Fully Automated","Husky, ESLint, Prettier, Commitlint","Per Commit","Developer resolves locally before pushing.","0.95","0.1","Maintains code style consistency and basic syntax validity."
"Build Gate","Functional","CI Pipeline Initiation","NestJS (Backend) and Next.js (Frontend) compile without errors; Docker images build successfully; No circular dependencies detected.","block","DevOps Team","Fully Automated","Docker, TypeScript Compiler (tsc), Madge","Per PR Build","Notify developer via CI slack bot.","0.98","0.5","Prevents broken artifacts from reaching test environments."
"Unit Test Gate","Coverage","Post-Build","Overall coverage > 80%; Auth Service coverage > 95%; Finance Webhook Handler > 100%; PII Sanitization Logic > 98%; All critical path tests pass.","block","Backend Core Team","Fully Automated","Jest","Per PR Build","Block PR merge until coverage targets are met.","0.85","2","Ensures core business logic (Security, Financials) is robust against regression."
"Security Scan Gate","Security","Pull Request / Nightly","Zero Critical/High vulnerabilities in dependencies; No secrets detected in code; SAST scan passes default ruleset.","block","Backend Security Team","Fully Automated","Snyk / OWASP Dependency Check, SonarQube, GitGuardian","Per PR","Critical vulnerabilities halt pipeline; Security Lead override required for false positives.","0.92","24","Prevents introduction of known CVEs and credential leakage."
"Integration Test Gate","Functional","Post-Unit Test","100% pass rate on Stripe Webhook Idempotency tests; Vector Search queries return valid results; Database migrations execute successfully.","block","Backend Finance Team","Fully Automated","Jest (Integration config), Supertest, Stripe CLI (Mock)","Per PR","Fail build; Notify Backend Lead.","0.88","3","Verifies service interoperability and database integrity."
"Infrastructure Compliance Gate","Compliance","Terraform Plan","Terraform plan validates against policy (e.g., no public S3 buckets, RDS encrypted at rest); Cost estimation within budget variance (<10%).","block","DevOps Team","Fully Automated","Terraform Compliance / OPA, Infracost","Per Infra PR","DevOps Lead review required for policy exceptions.","0.9","4","Prevents misconfiguration and cloud security breaches."
"E2E Test Gate","Functional","Deployment to Staging","100% Pass rate for Critical User Journeys: 'Admin Login', 'SOW Upload & Extraction', 'Vendor Proposal Submission'.","warn","QA / Frontend Team","Fully Automated","Playwright","Nightly / Pre-Release","Release blocked if critical flows fail; Non-critical failures trigger warning.","0.85","8","Validates full system functionality from user perspective."
"Performance Gate","Performance","Pre-Release","API p95 Response Time < 200ms; Vector Search p95 < 250ms; Frontend LCP < 2.5s; Error rate < 1% under load.","block","Backend Core Team","Partially Automated","K6, Lighthouse CI","Per Release Candidate","Performance regression must be fixed or waived by Product Owner.","0.8","48","Ensures system meets NFRs for latency and user experience."
"Release Gate","Functional","Production Deployment Request","All prior gates passed; Change Request approved; Rollback plan verified; Monitoring dashboards active.","block","Release Manager / System Admin","Manual","Jira / ServiceNow, GitHub Releases","Per Release","Emergency releases require CTO approval.","0.99","2","Final go/no-go decision point for production changes."
"Post-Deployment Gate","Performance","Production Deployment Complete","Health check endpoints return 200 OK; Error rate < 0.1% for first 15 mins; Database CPU < 60%.","notify","SRE / DevOps Team","Fully Automated","AWS CloudWatch, PagerDuty","Continuous (Post-Deploy)","Automatic rollback triggers if error rate threshold exceeded.","0.95","0.5","Immediate validation of production stability."
